job_id,industry_name
3700536480,Entertainment Providers
3700540954,Hospitals and Health Care
3700541620,Motor Vehicle Manufacturing
3700541620,Retail
3700541621,Motor Vehicle Manufacturing
3700541621,Retail
3700541842,Hospitals and Health Care
3700542410,Entertainment Providers
3700542483,Motor Vehicle Manufacturing
3700542483,Retail
3700542544,Motor Vehicle Manufacturing
3700542544,Retail
3700542715,Hospitals and Health Care
3700542787,Real Estate
3700542993,Financial Services
3700543453,Motor Vehicle Manufacturing
3700543453,Retail
3700543455,Motor Vehicle Manufacturing
3700543455,Retail
3700543608,Motor Vehicle Manufacturing
3700543608,Retail
3700544402,Motor Vehicle Manufacturing
3700544402,Retail
3700544597,Hospitals and Health Care
3700544773,Food and Beverage Services
3700545279,Motor Vehicle Manufacturing
3700545279,Retail
3700545425,Motor Vehicle Manufacturing
3700545425,Retail
3700545538,Hospitals and Health Care
3700545776,Wholesale Building Materials
3700545783,Financial Services
3700545792,Financial Services
3700545887,Financial Services
3700545887,Legal Services
3700545887,IT Services and IT Consulting
3700545891,Non-profit Organizations
3700545895,Non-profit Organizations
3700545914,Staffing and Recruiting
3700545915,Staffing and Recruiting
3700545931,Staffing and Recruiting
3700545942,Staffing and Recruiting
3700545981,Hospitals and Health Care
3700546087,Motor Vehicle Manufacturing
3700546087,Retail
3700546537,Financial Services
3700546660,Staffing and Recruiting
3700546700,Staffing and Recruiting
3700546703,Civil Engineering
3700546703,Government Administration
3700546703,Truck Transportation
3700546912,Financial Services
3700547086,Motor Vehicle Manufacturing
3700547086,Retail
3700547091,Motor Vehicle Manufacturing
3700547091,Retail
3700547703,Non-profit Organizations
3700547704,Non-profit Organization Management
3700547716,Staffing and Recruiting
3700547722,Staffing and Recruiting
3700547732,Staffing and Recruiting
3700547955,Aviation and Aerospace Component Manufacturing
3700547963,Aviation and Aerospace Component Manufacturing
3700547967,IT Services and IT Consulting
3700548301,Non-profit Organizations
3700548312,Software Development
3700548314,Staffing and Recruiting
3700548315,Staffing and Recruiting
3700548350,Hospitals and Health Care
3700548350,Insurance
3700548351,Staffing and Recruiting
3700548387,Hospitals and Health Care
3700548550,Financial Services
3700548756,Mental Health Care
3700549188,Staffing and Recruiting
3700549194,Staffing and Recruiting
3700549196,Staffing and Recruiting
3700549213,Staffing and Recruiting
3700549219,Staffing and Recruiting
3700549253,Hospitals and Health Care
3700549264,Hospitals and Health Care
3700549399,Aviation and Aerospace Component Manufacturing
3700549411,Aviation and Aerospace Component Manufacturing
3700549414,Retail Building Materials and Garden Equipment
3700549415,Aviation and Aerospace Component Manufacturing
3700549419,Aviation and Aerospace Component Manufacturing
3700549581,Non-profit Organizations
3700549583,Non-profit Organizations
3700549640,Construction
3700549696,IT Services and IT Consulting
3700549721,Sporting Goods Manufacturing
3700550019,Financial Services
3700550084,Hospitals and Health Care
3700550106,Staffing and Recruiting
3700550107,Staffing and Recruiting
3700550116,Staffing and Recruiting
3700550295,Real Estate
3700550306,Financial Services
3700550324,Aviation and Aerospace Component Manufacturing
3700550327,Financial Services
3700550329,Aviation and Aerospace Component Manufacturing
3700550924,Financial Services
3700550930,Wholesale
3700551067,Staffing and Recruiting
3700551068,Staffing and Recruiting
3700551078,Staffing and Recruiting
3700551092,Staffing and Recruiting
3700551241,"Appliances, Electrical, and Electronics Manufacturing"
3700551314,Security and Investigations
3700551319,Financial Services
3700551320,Financial Services
3700551805,Motor Vehicle Manufacturing
3700551805,Industrial Machinery Manufacturing
3700551805,Truck Transportation
3700551840,Civil Engineering
3700551891,Financial Services
3700551940,Financial Services
3700551946,Civil Engineering
3700552042,Staffing and Recruiting
3700552043,Staffing and Recruiting
3700552073,Financial Services
3700552264,Financial Services
3700552276,Aviation and Aerospace Component Manufacturing
3700552592,Sporting Goods Manufacturing
3700552599,IT Services and IT Consulting
3700552599,Computer Networking Products
3700552599,Software Development
3700552890,Financial Services
3700552990,Computer Games
3700553126,Non-profit Organizations
3700553136,Aviation and Aerospace Component Manufacturing
3700553153,IT Services and IT Consulting
3700553155,Aviation and Aerospace Component Manufacturing
3700553388,Construction
3700553462,Hospitals and Health Care
3700553769,Civil Engineering
3700553790,Civil Engineering
3700553806,Media Production
3700553847,Computer Hardware Manufacturing
3700553847,Software Development
3700553847,Computer Networking Products
3700553874,Computer Hardware Manufacturing
3700553874,Software Development
3700553874,Computer Networking Products
3700553886,Mental Health Care
3700553886,Hospitals and Health Care
3700553886,Wellness and Fitness Services
3700554332,Insurance
3700554333,Insurance
3700554546,Civil Engineering
3700554569,Civil Engineering
3700554570,Civil Engineering
3700554594,Financial Services
3700554617,Computer Hardware Manufacturing
3700554617,Software Development
3700554617,Computer Networking Products
3700554640,Computer Hardware Manufacturing
3700554640,Software Development
3700554640,Computer Networking Products
3700555134,Construction
3700555149,Mental Health Care
3700555206,Hospitals and Health Care
3700555490,Financial Services
3700555493,Financial Services
3700555525,Civil Engineering
3700555600,Computer Hardware Manufacturing
3700555600,Software Development
3700555600,Computer Networking Products
3700555649,Software Development
3700555673,Staffing and Recruiting
3700555673,Business Consulting and Services
3700555673,Financial Services
3700556102,Civil Engineering
3700556134,Civil Engineering
3700556185,Computer Hardware Manufacturing
3700556185,Software Development
3700556185,Computer Networking Products
3700556195,Computer Hardware Manufacturing
3700556195,Software Development
3700556195,Computer Networking Products
3700557016,Financial Services
3700557041,Financial Services
3700557071,Computer Hardware Manufacturing
3700557071,Software Development
3700557071,Computer Networking Products
3700558029,Computer Hardware Manufacturing
3700558029,Software Development
3700558029,Computer Networking Products
3700559014,Mental Health Care
3700559014,Hospitals and Health Care
3700559014,Wellness and Fitness Services
3700560001,Hospitals and Health Care
3700560001,Mental Health Care
85008768,Insurance
133196985,Staffing and Recruiting
903408693,Retail
903408693,Food and Beverage Services
967848246,Software Development
1004740969,Civil Engineering
1029078768,Staffing and Recruiting
1418582485,Leasing Non-residential Real Estate
1483357774,"Movies, Videos, and Sound"
1535492735,Construction
1535492735,Truck Transportation
2282679989,Media Production
2448418468,Higher Education
2481100553,Printing Services
2634247615,Staffing and Recruiting
2730408164,Mental Health Care
2764358929,Textile Manufacturing
2885838641,Wellness and Fitness Services
3047547711,Law Practice
3108036575,Construction
3192471360,Law Practice
3243289926,Non-profit Organizations
3243289926,Philanthropic Fundraising Services
3243289926,Civic and Social Organizations
3268185281,Construction
3268185281,Facilities Services
3313349770,Non-profit Organizations
3326588170,Medical Equipment Manufacturing
3373346816,Retail
3373346816,Retail Luxury Goods and Jewelry
3395626440,Hospitals and Health Care
3396803783,Advertising Services
3422104915,Wellness and Fitness Services
3442372601,Banking
3487275706,Hospitality
3497543368,Government Administration
3529464114,Aviation and Aerospace Component Manufacturing
3532827942,Truck Transportation
3538940637,Security and Investigations
3562282884,Civic and Social Organizations
3564601168,Retail Apparel and Fashion
3568598527,Industrial Machinery Manufacturing
3580193834,Furniture and Home Furnishings Manufacturing
3584068782,Legal Services
3586162459,IT Services and IT Consulting
3587706348,Real Estate
3587919328,Civic and Social Organizations
3596450056,Construction
3596450056,Real Estate
3596450056,Hospitality
3601203087,Real Estate
3601423875,Truck Transportation
3603640939,Retail
3606156203,Retail
3618024320,Entertainment Providers
3623811800,Retail Apparel and Fashion
3627129770,Personal Care Product Manufacturing
3635154108,Wellness and Fitness Services
3637608593,Construction
3638837564,Hospitals and Health Care
3643209562,Research Services
3643371518,Advertising Services
3644109811,Restaurants
3655655364,IT Services and IT Consulting
3666015999,Non-profit Organizations
3666945557,Mental Health Care
3668771880,Food and Beverage Services
3669525119,IT Services and IT Consulting
3669562617,IT Services and IT Consulting
3670740369,IT Services and IT Consulting
3673294109,IT Services and IT Consulting
3674000415,Banking
3675787336,IT Services and IT Consulting
3677721266,Aviation and Aerospace Component Manufacturing
3677721266,Airlines and Aviation
3677721266,Truck Transportation
3678500518,Wellness and Fitness Services
3680164564,Business Consulting and Services
3680164564,Capital Markets
3680164564,Financial Services
3680177756,Personal Care Product Manufacturing
3680807523,Non-profit Organizations
3681440546,Food and Beverage Services
3682818140,Insurance
3682818140,Hospitals and Health Care
3682818140,Financial Services
3684010877,Wellness and Fitness Services
3684441939,Leasing Non-residential Real Estate
3684441939,Real Estate
3684441939,Accounting
3684448047,Insurance
3684455234,IT Services and IT Consulting
3684464103,IT Services and IT Consulting
3684955684,Farming
3685418185,Truck Transportation
3687065358,IT Services and IT Consulting
3687520079,Hospitality
3689394048,Telecommunications
3689394048,"Technology, Information and Internet"
3689701585,Events Services
3692363916,Legal Services
3692363916,Law Practice
3692363916,Business Consulting and Services
3692363921,Wellness and Fitness Services
3692363921,Advertising Services
3692363921,Hospitals and Health Care
3692364583,Consumer Services
3693028967,Software Development
3693028975,Education Administration Programs
3693031616,Accounting
3693031616,Financial Services
3693031616,Business Consulting and Services
3693032353,Staffing and Recruiting
3693033842,Farming
3693034684,IT Services and IT Consulting
3693034691,Insurance
3693034850,Construction
3693035413,Truck Transportation
3693035505,Individual and Family Services
3693035554,Law Practice
3693035612,Individual and Family Services
3693036850,Non-profit Organizations
3693037054,Staffing and Recruiting
3693037588,IT Services and IT Consulting
3693037942,Primary and Secondary Education
3693038067,Medical Equipment Manufacturing
3693038433,IT Services and IT Consulting
3693038606,Newspaper Publishing
3693038731,Law Practice
3693038960,Packaging and Containers Manufacturing
3693038962,Packaging and Containers Manufacturing
3693038976,Truck Transportation
3693038998,"Appliances, Electrical, and Electronics Manufacturing"
