job_id,skill_name,industry_name
3700155066,Information Technology,Telecommunications
3700155066,Quality Assurance,IT Services and IT Consulting
3700155066,Quality Assurance,Software Development
3700155066,Quality Assurance,Telecommunications
3634090513,Engineering,Software Development
3634090513,Information Technology,Software Development
3680144775,General Business,Manufacturing
3680144775,Management,Manufacturing
3680144775,Business Development,Manufacturing
3690663520,Human Resources,Non-profit Organizations
3690664476,Other,Real Estate
3690664657,Accounting/Auditing,Executive Offices
3690664657,Accounting/Auditing,Manufacturing
3690664657,Finance,Executive Offices
3690664657,Finance,Manufacturing
3690665137,Accounting/Auditing,Real Estate
3690665137,Finance,Real Estate
3690668153,Management,Consumer Services
3690668153,Manufacturing,Consumer Services
3690671407,Health Care Provider,Medical Practices
3690673180,Design,
3690673180,Art/Creative,
3690673180,Information Technology,
3690673578,Engineering,"Appliances, Electrical, and Electronics Manufacturing"
3690673578,Information Technology,"Appliances, Electrical, and Electronics Manufacturing"
3690692186,Administrative,Retail
3690699930,Health Care Provider,Hospitals and Health Care
3690804650,Manufacturing,Pharmaceutical Manufacturing
3690804650,Engineering,Pharmaceutical Manufacturing
3690804650,Project Management,Pharmaceutical Manufacturing
3690809682,Accounting/Auditing,Hospitals and Health Care
3690809682,Finance,Hospitals and Health Care
3690821627,Finance,Leasing Non-residential Real Estate
3690821627,Finance,Investment Management
3690821627,Sales,Leasing Non-residential Real Estate
3690821627,Sales,Investment Management
3690825634,Marketing,Manufacturing
3690825634,Sales,Manufacturing
3690828940,Marketing,Pharmaceutical Manufacturing
3690828940,Product Management,Pharmaceutical Manufacturing
3690832043,Human Resources,Plastics Manufacturing
3690832043,Customer Service,Plastics Manufacturing
3690832043,General Business,Plastics Manufacturing
3690834347,Human Resources,Wholesale Building Materials
3690835135,Sales,Financial Services
3690835135,Sales,Business Consulting and Services
3690835135,Sales,"Technology, Information and Internet"
3690835135,Finance,Financial Services
3690835135,Finance,Business Consulting and Services
3690835135,Finance,"Technology, Information and Internet"
3690835135,Project Management,Financial Services
3690835135,Project Management,Business Consulting and Services
3690835135,Project Management,"Technology, Information and Internet"
3690837484,Sales,
3690837484,Business Development,
3690841406,Information Technology,IT Services and IT Consulting
3690841533,Finance,Food and Beverage Services
3690841533,Accounting/Auditing,Food and Beverage Services
3690841599,Management,"Appliances, Electrical, and Electronics Manufacturing"
3690841599,Manufacturing,"Appliances, Electrical, and Electronics Manufacturing"
3690843414,Health Care Provider,
3690844311,Accounting/Auditing,Insurance
3690844311,Finance,Insurance
3690844811,Engineering,Chemical Manufacturing
3690844811,Engineering,Mining
3690844811,Engineering,Industrial Machinery Manufacturing
3690844895,Legal,Business Consulting and Services
3690846882,Consulting,Motor Vehicle Manufacturing
3690846882,Information Technology,Motor Vehicle Manufacturing
3690846882,Sales,Motor Vehicle Manufacturing
3690847441,Business Development,IT Services and IT Consulting
3690847441,Sales,IT Services and IT Consulting
3690849145,Health Care Provider,
3690849528,Engineering,Design Services
3690849528,Engineering,Construction
3690849528,Engineering,Utilities
3690849528,Consulting,Design Services
3690849528,Consulting,Construction
3690849528,Consulting,Utilities
3690849528,Project Management,Design Services
3690849528,Project Management,Construction
3690849528,Project Management,Utilities
3690849991,Engineering,Manufacturing
3690849991,Information Technology,Manufacturing
3690850853,Marketing,Wholesale Building Materials
3690850853,Marketing,"Glass, Ceramics and Concrete Manufacturing"
3690850853,Strategy/Planning,Wholesale Building Materials
3690850853,Strategy/Planning,"Glass, Ceramics and Concrete Manufacturing"
3690850853,Project Management,Wholesale Building Materials
3690850853,Project Management,"Glass, Ceramics and Concrete Manufacturing"
3690853209,Management,Wholesale
3690853209,Manufacturing,Wholesale
3690857635,Marketing,Graphic Design
3690857635,Strategy/Planning,Graphic Design
3690857635,Project Management,Graphic Design
3690859113,Marketing,Wellness and Fitness Services
3690859113,Marketing,Hospitals and Health Care
3690859113,Advertising,Wellness and Fitness Services
3690859113,Advertising,Hospitals and Health Care
3690859113,Strategy/Planning,Wellness and Fitness Services
3690859113,Strategy/Planning,Hospitals and Health Care
3690859360,Sales,Business Consulting and Services
3690859360,Management,Business Consulting and Services
3690860158,Information Technology,IT Services and IT Consulting
3690867240,Engineering,Oil and Gas
3690867240,Design,Oil and Gas
3690868912,Finance,Packaging and Containers Manufacturing
3690868912,Sales,Packaging and Containers Manufacturing
3690868934,Management,Biotechnology Research
3690868934,Manufacturing,Biotechnology Research
3690869468,Management,Construction
3690869468,Manufacturing,Construction
3690870151,Management,Real Estate
3690870151,Manufacturing,Real Estate
3690870497,Health Care Provider,Staffing and Recruiting
3690870668,Design,Packaging and Containers Manufacturing
3690870668,Design,Paper and Forest Product Manufacturing
3690870668,Art/Creative,Packaging and Containers Manufacturing
3690870668,Art/Creative,Paper and Forest Product Manufacturing
3690870668,Information Technology,Packaging and Containers Manufacturing
3690870668,Information Technology,Paper and Forest Product Manufacturing
3690876465,Management,Hospitality
3690876465,Accounting/Auditing,Hospitality
3690876465,Finance,Hospitality
3692338006,Project Management,Architecture and Planning
3692353287,Marketing,Media Production
3692353287,Public Relations,Media Production
3692353287,Writing/Editing,Media Production
3692361903,Accounting/Auditing,Financial Services
3692361903,Accounting/Auditing,Retail
3692361903,Finance,Financial Services
3692361903,Finance,Retail
3692361906,Accounting/Auditing,Financial Services
3692361906,Accounting/Auditing,Retail
3692361906,Finance,Financial Services
3692361906,Finance,Retail
3692361910,Accounting/Auditing,Financial Services
3692361910,Accounting/Auditing,Retail
3692361910,Finance,Financial Services
3692361910,Finance,Retail
3692361914,Accounting/Auditing,Financial Services
3692361914,Accounting/Auditing,Retail
3692361914,Finance,Financial Services
3692361914,Finance,Retail
3692361915,Accounting/Auditing,Financial Services
3692361915,Accounting/Auditing,Retail
3692361915,Finance,Financial Services
3692361915,Finance,Retail
3692362852,Accounting/Auditing,Financial Services
3692362852,Accounting/Auditing,Retail
3692362852,Finance,Financial Services
3692362852,Finance,Retail
3692362854,Accounting/Auditing,Financial Services
3692362854,Accounting/Auditing,Retail
3692362854,Finance,Financial Services
3692362854,Finance,Retail
3692362958,Customer Service,Software Development
3692362958,Customer Service,Spectator Sports
3692362958,Customer Service,Entertainment Providers
3692362958,General Business,Software Development
3692362958,General Business,Spectator Sports
3692362958,General Business,Entertainment Providers
3692362958,Other,Software Development
3692362958,Other,Spectator Sports
3692362958,Other,Entertainment Providers
3692362963,Design,IT Services and IT Consulting
3692362963,Art/Creative,IT Services and IT Consulting
3692362963,Information Technology,IT Services and IT Consulting
3692363690,Accounting/Auditing,Financial Services
3692363690,Accounting/Auditing,Retail
3692363690,Finance,Financial Services
3692363690,Finance,Retail
3692363702,Accounting/Auditing,Financial Services
3692363702,Accounting/Auditing,Retail
3692363702,Finance,Financial Services
3692363702,Finance,Retail
3692363706,Accounting/Auditing,Financial Services
3692363706,Accounting/Auditing,Retail
3692363706,Finance,Financial Services
3692363706,Finance,Retail
3692363707,Accounting/Auditing,Financial Services
3692363707,Accounting/Auditing,Retail
3692363707,Finance,Financial Services
3692363707,Finance,Retail
3692363708,Accounting/Auditing,Financial Services
3692363708,Accounting/Auditing,Retail
3692363708,Finance,Financial Services
3692363708,Finance,Retail
3692363778,Research,IT Services and IT Consulting
3692363778,Analyst,IT Services and IT Consulting
3692363778,Information Technology,IT Services and IT Consulting
3692363920,Management,Facilities Services
3692364339,Sales,Financial Services
3692364339,Sales,Retail
3692364339,Business Development,Financial Services
3692364339,Business Development,Retail
3692364369,Accounting/Auditing,Financial Services
3692364369,Accounting/Auditing,Retail
3692364369,Finance,Financial Services
3692364369,Finance,Retail
3692364370,Accounting/Auditing,Financial Services
3692364370,Accounting/Auditing,Retail
3692364370,Finance,Financial Services
